Subject,Image,NSED,SLJ
Sub112,NL07,Low,0
Sub112,NL08,Low,0
Sub112,NL09,Low,0
Sub112,NL10,Low,0
Sub112,NL11,Low,0
Sub112,NL12,Low,0
Sub112,NL13,Low,0
Sub112,NL14,Low,0
Sub112,NL15,Low,0
Sub112,NL16,Low,1
Sub112,NL17,Low,0
Sub112,NL18,Low,0
Sub112,NL19,Low,1
Sub112,NL20,Low,0
Sub112,NH01,High,0
Sub112,NH02,High,0
Sub112,NH03,High,0
Sub112,NH04,High,0
Sub112,NH05,High,0
Sub112,NH06,High,0
Sub112,NH07,High,0
Sub112,NH08,High,0
Sub112,NH09,High,0
Sub112,NH10,High,1
Sub112,NH11,High,0
Sub112,NH12,High,0
Sub112,NH13,High,0
Sub112,NH14,High,1
Sub112,NH15,High,0
Sub112,NH16,High,0
Sub112,NH17,High,1
Sub112,NH18,High,0
Sub112,NH19,High,0
Sub112,NH20,High,0
Sub113,NL01,Low,1
Sub113,NL02,Low,0
Sub113,NL03,Low,0
Sub113,NL04,Low,0
Sub113,NL05,Low,0
Sub113,NL06,Low,0
Sub113,NL07,Low,0
Sub113,NL08,Low,0
Sub113,NL09,Low,0
Sub113,NL10,Low,0
Sub113,NL11,Low,0
Sub113,NL12,Low,0
Sub113,NL13,Low,0
Sub113,NL14,Low,0
Sub113,NL15,Low,1
Sub113,NL16,Low,0
Sub113,NL17,Low,1
Sub113,NL18,Low,0
Sub113,NL19,Low,0
Sub113,NL20,Low,0
Sub113,NH01,High,0
Sub113,NH02,High,0
Sub113,NH03,High,1
Sub113,NH04,High,0
Sub113,NH05,High,0
Sub113,NH06,High,1
Sub113,NH07,High,0
Sub113,NH08,High,0
Sub113,NH09,High,0
Sub113,NH10,High,0
Sub113,NH11,High,1
Sub113,NH12,High,0
Sub113,NH13,High,0
Sub113,NH14,High,0
Sub113,NH15,High,0
Sub113,NH16,High,0
Sub113,NH17,High,0
Sub113,NH18,High,0
Sub113,NH19,High,0
Sub113,NH20,High,0
Sub114,NL01,Low,0
Sub114,NL02,Low,0
Sub114,NL03,Low,0
Sub114,NL04,Low,0
Sub114,NL05,Low,0
Sub114,NL06,Low,1
Sub114,NL07,Low,0
Sub114,NL08,Low,0
Sub114,NL09,Low,1
Sub114,NL10,Low,0
Sub114,NL11,Low,0
Sub114,NL12,Low,0
Sub114,NL13,Low,0
Sub114,NL14,Low,0
Sub114,NL15,Low,0
Sub114,NL16,Low,1
Sub114,NL17,Low,0
Sub114,NL18,Low,0
Sub114,NL19,Low,0
Sub114,NL20,Low,0
Sub114,NH01,High,0
Sub114,NH02,High,0
Sub114,NH03,High,0
Sub114,NH04,High,0
Sub114,NH05,High,0
Sub114,NH06,High,0
Sub114,NH07,High,0
Sub114,NH08,High,0
Sub114,NH09,High,0
Sub114,NH10,High,0
Sub114,NH11,High,0
Sub114,NH12,High,0
Sub114,NH13,High,0
Sub114,NH14,High,0
Sub114,NH15,High,0
Sub114,NH16,High,0
Sub114,NH17,High,1
Sub114,NH18,High,0
Sub114,NH19,High,0
Sub114,NH20,High,0
Sub115,NL01,Low,0
Sub115,NL02,Low,0
Sub115,NL03,Low,0
Sub115,NL04,Low,0
Sub115,NL05,Low,0
Sub115,NL06,Low,0
Sub115,NL07,Low,0
Sub115,NL08,Low,0
Sub115,NL09,Low,0
Sub115,NL10,Low,0
Sub115,NL11,Low,1
Sub115,NL12,Low,0
Sub115,NL13,Low,0
Sub115,NL14,Low,0
Sub115,NL15,Low,0
Sub115,NL16,Low,0
Sub115,NL17,Low,0
Sub115,NL18,Low,0
Sub115,NL19,Low,0
Sub115,NL20,Low,0
Sub115,NH01,High,0
Sub115,NH02,High,0
Sub115,NH03,High,0
Sub115,NH04,High,0
Sub115,NH05,High,0
Sub115,NH06,High,0
Sub115,NH07,High,0
Sub115,NH08,High,0
Sub115,NH09,High,0
Sub115,NH10,High,0
Sub115,NH11,High,0
Sub115,NH12,High,0
Sub115,NH13,High,0
Sub115,NH14,High,0
Sub115,NH15,High,0
Sub115,NH16,High,0
Sub115,NH17,High,0
Sub115,NH18,High,0
Sub115,NH19,High,0
Sub115,NH20,High,0
Sub116,NL01,Low,1
Sub116,NL02,Low,1
Sub116,NL03,Low,0
Sub116,NL04,Low,1
Sub116,NL05,Low,1
Sub116,NL06,Low,1
Sub116,NL07,Low,1
Sub116,NL08,Low,1
Sub116,NL09,Low,1
Sub116,NL10,Low,1
Sub116,NL11,Low,1
Sub116,NL12,Low,0
Sub116,NL13,Low,1
Sub116,NL14,Low,1
Sub116,NL15,Low,1
Sub116,NL16,Low,0
Sub116,NL17,Low,1
Sub116,NL18,Low,1
Sub116,NL19,Low,1
Sub116,NL20,Low,1
Sub116,NH01,High,1
Sub116,NH02,High,1
Sub116,NH03,High,1
Sub116,NH04,High,1
Sub116,NH05,High,1
Sub116,NH06,High,1
Sub116,NH07,High,1
Sub116,NH08,High,1
Sub116,NH09,High,1
Sub116,NH10,High,1
Sub116,NH11,High,1
Sub116,NH12,High,1
Sub116,NH13,High,1
Sub116,NH14,High,1
Sub116,NH15,High,1
Sub116,NH16,High,1
Sub116,NH17,High,1
